time,open,high,low,close,vwap,volume,trades
2026-04-06 00:00:00+00:00,68983.8,69555.0,68983.8,69054.3,69299.5,200.46716826,3830
2026-04-06 01:00:00+00:00,69054.3,69096.9,68771.1,68771.1,68874.1,61.42734899,1975
2026-04-06 02:00:00+00:00,68771.2,69372.6,68771.2,69184.6,69171.8,52.01225113,2108
2026-04-06 03:00:00+00:00,69180.2,69220.0,69043.9,69087.9,69146.9,27.2821744,1217
2026-04-06 04:00:00+00:00,69088.0,69188.3,68970.0,69115.3,69078.4,17.24178586,1066
2026-04-06 05:00:00+00:00,69115.3,69211.7,69080.4,69176.8,69164.8,37.24081849,988
2026-04-06 06:00:00+00:00,69176.8,69323.9,68800.2,68950.1,68997.8,89.77066613,1853
2026-04-06 07:00:00+00:00,68950.1,69179.1,68822.7,69075.2,68961.9,26.87184853,1199
2026-04-06 08:00:00+00:00,69075.2,69311.4,69072.6,69208.0,69238.5,30.89705383,1227
2026-04-06 09:00:00+00:00,69208.0,70250.0,69201.4,69714.1,69872.6,191.07839123,3913
2026-04-06 10:00:00+00:00,69714.3,69945.0,69696.6,69748.9,69812.9,72.14479096,1978
2026-04-06 11:00:00+00:00,69748.9,69748.9,69578.0,69593.4,69659.8,19.40877122,1651
2026-04-06 12:00:00+00:00,69596.4,69620.4,69333.4,69356.8,69477.7,43.66367253,2337
2026-04-06 13:00:00+00:00,69356.9,69550.0,69246.9,69394.3,69365.1,27.04806528,2358
2026-04-06 14:00:00+00:00,69409.4,69812.1,69167.1,69665.4,69524.7,108.58315877,3217
2026-04-06 15:00:00+00:00,69665.4,69971.0,69551.5,69971.0,69830.1,109.43927737,2495
2026-04-06 16:00:00+00:00,69970.4,70463.7,69809.9,69813.9,70093.8,370.05832094,3827
2026-04-06 17:00:00+00:00,69814.0,69814.0,69278.4,69570.7,69505.4,100.53586284,2841
2026-04-06 18:00:00+00:00,69570.8,69950.0,69489.4,69899.4,69803.7,58.20127401,1957
2026-04-06 19:00:00+00:00,69899.4,69913.3,69601.9,69730.0,69725.6,81.87617794,1810
2026-04-06 20:00:00+00:00,69731.8,69988.3,69628.8,69850.5,69779.7,78.83974178,1946
2026-04-06 21:00:00+00:00,69850.6,69850.6,69445.6,69519.7,69592.7,24.13284195,1458
2026-04-06 22:00:00+00:00,69519.3,69577.8,68826.5,68826.5,69070.3,93.10189047,2230
2026-04-06 23:00:00+00:00,68826.5,68910.1,68350.0,68861.4,68601.7,117.85097496,2698
2026-04-07 00:00:00+00:00,68861.3,69142.3,68731.0,68768.0,68911.6,59.05060233,2137
2026-04-07 01:00:00+00:00,68766.5,68888.5,68350.1,68410.1,68620.5,48.65755978,2140
2026-04-07 02:00:00+00:00,68410.1,68700.0,68300.0,68677.4,68456.5,24.51831955,1688
2026-04-07 03:00:00+00:00,68677.4,68796.4,68623.7,68779.5,68747.4,27.31515528,1168
2026-04-07 04:00:00+00:00,68779.5,68962.9,68540.1,68871.6,68780.1,29.96801793,1236
2026-04-07 05:00:00+00:00,68871.6,68871.6,68616.3,68644.4,68763.0,57.47587827,1170
2026-04-07 06:00:00+00:00,68658.4,68658.4,68439.4,68571.6,68551.8,27.78224407,1297
2026-04-07 07:00:00+00:00,68571.6,68700.6,68499.0,68623.0,68625.0,36.66769819,1289
2026-04-07 08:00:00+00:00,68623.1,68990.4,68616.6,68946.4,68834.2,21.93592737,1584
2026-04-07 09:00:00+00:00,68946.4,69259.4,68946.3,69156.4,69124.7,63.84879453,1822
2026-04-07 10:00:00+00:00,69156.5,69198.7,68196.9,68230.1,68673.8,68.28244405,2978
2026-04-07 11:00:00+00:00,68230.1,68439.2,68067.7,68347.9,68274.1,100.22577145,2081
2026-04-07 12:00:00+00:00,68348.0,68618.4,68073.3,68379.7,68333.9,40.80937247,2767
2026-04-07 13:00:00+00:00,68379.8,68629.8,68200.0,68240.4,68461.6,46.19257897,2794
2026-04-07 14:00:00+00:00,68240.4,68240.4,67752.7,67863.4,68008.1,74.97585119,3858
2026-04-07 15:00:00+00:00,67863.5,68237.1,67734.9,68155.6,68046.7,70.64047241,2981
2026-04-07 16:00:00+00:00,68155.7,68442.8,68079.6,68222.9,68263.9,70.31943787,2377
2026-04-07 17:00:00+00:00,68222.9,68989.5,68195.9,68703.0,68603.3,90.50777016,2620
2026-04-07 18:00:00+00:00,68703.0,68750.0,68350.2,68428.8,68517.0,26.87608527,1900
2026-04-07 19:00:00+00:00,68433.6,69059.9,68352.6,69015.8,68782.7,76.97841874,3109
2026-04-07 20:00:00+00:00,69008.0,69529.7,69008.0,69303.6,69406.4,133.1081279,3220
2026-04-07 21:00:00+00:00,69303.8,70189.4,69303.8,69912.7,69884.4,137.7166371,3729
2026-04-07 22:00:00+00:00,69914.4,71498.0,69914.4,71498.0,70798.8,434.14423856,6674
2026-04-07 23:00:00+00:00,71498.0,72728.0,71199.7,71925.0,72036.8,408.38218932,7642
2026-04-08 00:00:00+00:00,71925.0,72109.8,71542.4,71688.2,71839.8,109.12521226,4017
2026-04-08 01:00:00+00:00,71688.3,71735.0,71442.1,71461.8,71539.0,49.27924495,2376
2026-04-08 02:00:00+00:00,71458.8,71700.0,71238.3,71337.9,71391.6,55.41278885,2448
